CTYNAME,CENSUS2000POP,2000-CVD,CVD/1000,2000-CVM,CVM/1000,2000-CVS,CVS/100K
Mecklenburg County,695454,17336,24.92760125,38579,55.4731154,2828,4.066408418
Wake County,627846,12029,19.15915686,17783,28.32382463,2869,4.569591906
Guilford County,421048,11075,26.30341434,21537,51.15093766,1722,4.089794988
Forsyth County,306067,11428,37.33822986,16534,54.02085164,1087,3.551509964
Cumberland County,302963,9024,29.78581543,13903,45.89009219,810,2.673593805
Durham County,223314,4599,20.59432011,16428,73.56457723,964,4.316791603
Buncombe County,206330,5942,28.79852663,4414,21.39291426,575,2.786797848
Gaston County,190365,5078,26.67507157,6113,32.11199538,538,2.826149765
New Hanover County,160307,3680,22.95595326,5914,36.89171402,772,4.815759761
Onslow County,150355,3972,26.41747863,4065,27.03601477,340,2.261314888
Davidson County,147246,3439,23.35547315,4059,27.56611385,253,1.718213058
Catawba County,141685,3517,24.82267001,3342,23.58753573,449,3.169001659
Pitt County,133798,3294,24.61920208,6247,46.6897861,446,3.33338316
Cabarrus County,131063,2561,19.54022112,3358,25.62126611,287,2.189786591
Alamance County,130800,2511,19.19724771,4257,32.54587156,290,2.217125382
Randolph County,130454,2089,16.01330737,2139,16.39658424,225,1.724745887
Rowan County,130340,2876,22.0653675,3445,26.4308731,289,2.217277889
Union County,123677,1663,13.44631581,2675,21.62892049,317,2.563128148
Robeson County,123339,4455,36.11996206,3516,28.50679834,472,3.826851199
Iredell County,122660,2925,23.8464047,2800,22.82732757,354,2.886026414
Johnston County,121965,2804,22.99020211,2896,23.74451687,384,3.148444226
Orange County,118227,1476,12.48445786,1663,14.06616086,296,2.503658217
Wayne County,113329,3121,27.53928827,4716,41.6133558,309,2.72657484
Cleveland County,96287,2509,26.05751555,3442,35.74729714,215,2.232907869
Rockingham County,91928,2226,24.21460273,3120,33.93960491,165,1.794882952
Craven County,91436,1939,21.20608951,2572,28.12896452,275,3.007568135
Harnett County,91025,1948,21.40071409,2091,22.97171107,276,3.032134029
Henderson County,89173,1699,19.05285232,1213,13.60277214,192,2.153118096
Burke County,89148,1925,21.59330551,2325,26.08022614,174,1.951810472
Nash County,87420,2091,23.91901167,8004,91.55799588,358,4.095172729
Caldwell County,77415,1961,25.3310082,1772,22.88962087,169,2.183039463
Moore County,74769,1257,16.81178028,1399,18.7109631,228,3.049392128
Wilson County,73814,1663,22.52960143,5192,70.33896009,341,4.619719836
Brunswick County,73143,1820,24.8827639,1654,22.61323708,250,3.417962074
Surry County,71219,1776,24.93716564,1982,27.8296522,189,2.653786209
Wilkes County,65632,2025,30.85385178,2824,43.02779132,213,3.245368113
Lincoln County,63780,1317,20.6491063,1103,17.29382251,139,2.179366573
Rutherford County,62899,1201,19.09410324,1904,30.27075152,133,2.114501025
Sampson County,60161,1402,23.30413391,2056,34.17496385,130,2.160868337
Lenoir County,59648,1792,30.04291845,2451,41.0910676,181,3.034468884
Carteret County,59383,1211,20.39304178,1186,19.97204587,207,3.485846118
Stanly County,58100,1686,29.01893287,1032,17.76247849,90,1.549053356
