CTYNAME,2009 Median income,CVD delta,CVM delta,CVS delta,2009 pop estimate
Mecklenburg County,53158,0.094409422,-0.531994038,0.205368939,894290
Wake County,63770,0.300005011,-0.238160652,0.073326945,892409
Guilford County,44386,0.570622463,-0.27957355,0.249051053,475953
Forsyth County,45769,0.112591134,-0.27550913,0.205934165,355575
Cumberland County,41163,0.19000605,-0.194872358,-0.005461653,321071
Durham County,48770,0.245412597,-0.503885626,-0.102783644,266132
Buncombe County,40979,0.401080971,-0.460736227,-0.349752263,230421
Gaston County,40940,-0.100738723,-0.362449245,-0.232352075,207234
Union County,63190,0.426362042,-0.284056006,0.146088931,196322
New Hanover County,44719,0.54078646,-0.372422392,0.584587179,194054
Onslow County,41161,0.221603158,-0.201015493,-0.047252064,179455
Cabarrus County,52988,-0.512761729,-0.66838229,0.099646374,174255
Johnston County,49501,0.139323958,-0.375022768,0.305454423,168217
Davidson County,43420,0.117986501,-0.399696078,-0.164294936,159947
Pitt County,36339,0.827757587,-0.545272857,0.349860594,158541
Iredell County,47979,0.05430473,-0.2699597,-0.068182473,157013
Catawba County,42100,-0.045233741,-0.223068248,-0.158194228,157002
Alamance County,34103,0.413726097,-0.427643972,-0.122402801,148338
Randolph County,38529,0.063668966,-0.388400624,0.086681034,142467
Rowan County,42787,0.253868863,-0.387632519,0.102527712,140495
Orange County,51944,0.0717939,-0.340564991,-0.137678391,132272
Robeson County,27421,-0.004433767,-0.751187069,-0.095113171,131080
Wayne County,40291,0.106097997,-0.248817001,0.43830026,116554
Harnett County,42792,0.270487177,-0.126164802,0.266009921,112844
Brunswick County,44891,0.348104385,-0.329281665,-0.178674297,107127
Henderson County,44408,0.679867851,-0.551139572,0.838051694,105221
Craven County,41021,0.290922031,-0.364720245,-0.357128078,100261
Cleveland County,38304,0.054307003,-0.204327277,-0.297673914,98628
Nash County,39770,0.130763387,-0.326226185,-0.058683882,95804
Rockingham County,36104,-0.054597312,-0.336177177,0.295284492,91878
Burke County,36177,0.192957031,-0.135278786,0.175565275,89653
Moore County,45987,0.454002447,-0.660271174,-0.075923184,86945
Caldwell County,35489,0.078310706,-0.399185617,-0.13505098,80130
Wilson County,39511,0.268527744,-0.258703594,-0.248249414,80005
Lincoln County,48161,0.452871445,-0.126692078,0.260544076,75702
Surry County,34397,0.147216997,-0.347672196,-0.310380341,73881
Wilkes County,36516,-0.287948019,-0.200571035,-0.179580061,67519
Sampson County,33937,-0.136967271,-0.441704815,-0.154743478,65406
Carteret County,44036,0.149416054,-0.336866344,-0.200825465,64712
Rutherford County,34016,0.52014064,-0.188346493,0.07032668,63821
Chatham County,57174,-0.179040297,-0.528094675,0.327749156,62482
Stanly County,42296,0.272075306,-0.204408568,-0.175687666,60079
