Year	Mag CPI	Dist CPI	Sup CPI
1985	29.48810409	61.22659197	90.85236228
1986	29.18969641	60.32537259	89.515069
1987	28.17868561	58.44356506	86.72270945
1988	27.21200686	56.48034453	83.8095435
1989	26.00754098	53.88141331	79.95306491
1990	41.37871674	68.12763551	93.0523802
1991	46.12264662	65.30608434	89.19855422
1992	52.57274854	69.63247988	92.84330651
1993	51.04295245	75.11647727	97.65142045
1994	49.59966897	73.09191431	95.0194886
1995	48.20343164	70.93494299	92.21542589
1996	46.70098701	68.67792208	89.2812987
1997	45.80861146	67.3656051	87.57528662
1998	45.14721908	66.47642992	86.41935889
1999	52.1647349	73.25645022	92.87871367
2000	53.51154762	70.71980896	89.66261493
2001	55.47062937	73.70313589	92.12891986
2002	54.83156682	73.15089337	91.43861671
2003	65.6178229	83.56072235	101.4665914
2004	63.71325301	80.9565883	98.30442865
2005	61.71904509	78.84430245	95.73951012
2006	69.79350254	86.20601121	102.3696383
2007	78.704774	83.90846659	99.64130408
2008	75.36721299	88.66634012	108.5913604
2009	72.93405294	90.93936745	111.1481158
