Year,delta mag,delta dist,delta sup
1984,0,0,0
1985,-3.066914498,-3.066914498,-3.066914498
1986,-4.047838086,-4.047838086,-4.047838086
1987,-7.371225577,-7.371225577,-7.371225577
1988,-10.54888508,-10.54888508,-10.54888508
1989,-14.50819672,-14.50819672,-14.50819672
1990,36.01982264,7.938310869,-0.64639042
1991,51.61403509,13.83701188,2.288329519
1992,72.81676413,22.97208074,7.734235952
1993,67.78802934,19.39375901,4.599314963
1994,63.04367816,16.01779755,1.64167916
1995,58.45397676,12.751881,-1.219547733
1996,53.51515152,9.237536657,-4.298418972
1997,50.58174098,7.150195192,-6.127111603
1998,48.40761666,5.603142782,-7.482464041
1999,71.4755446,16.16085279,-0.749209242
2000,75.90277778,16.15591398,-1.476449275
2001,82.34265734,17.64042409,-0.900729705
2002,80.24193548,16.28511967,-2.042426367
2003,115.6984396,32.83481615,8.70178278
2004,109.437751,28.97926015,5.5466927
2005,102.882405,24.94224352,2.243109215
2006,129.4247039,36.63009661,9.341205032
2007,158.7177719,48.55407548,22.60972668
2008,147.7465652,41.9600437,16.92844179
2009,139.7482988,48.23147504,21.6114559
2010,140.5678411,48.2952445,21.43016398
