Fiscal Year	Mag delta	Dist delta	Sup delta
1980	0	0	0
1981	9.059971341	-2.403090554	-2.067384549
1982	10.16748546	-0.832055389	-4.07479647
1983	55.06105127	8.721092622	13.22493325
1984	53.97341925	6.088986348	11.1194019
1985	49.9925737	3.346150136	8.246508778
1986	47.33964382	1.518259045	6.331944677
1987	42.11894778	-2.078844622	2.564277346
1988	36.50584648	-5.946318826	-1.486580667
1989	106.8353565	15.4123832	12.20775079
1990	106.7480684	13.04189248	8.985080007
1991	133.1510399	20.61629492	13.51890095
1992	165.562041	30.20006351	19.47526592
1993	158.0250665	26.50482695	16.0844122
1994	150.6479033	22.88794286	12.76545691
1995	143.3587375	19.31420229	9.486091345
1996	136.7857041	16.09156788	6.528910743
1997	133.2605448	14.36324869	4.942956101
1998	146.6617345	18.28299998	7.347085504
1999	140.1430313	22.83418872	9.929193294
2000	171.3751252	23.47050127	12.4485257
2001	183.5763002	26.0557845	11.22342128
2002	193.1051462	28.57719947	19.80125038
2003	232.470282	41.07247741	20.9167975
2004	222.6546642	36.90755324	17.34693539
2005	256.9430351	47.18626488	23.78867401
2006	257.2311998	46.58182463	22.86755021
2007	269.7838638	56.74512174	35.50458243
2008	293.0244664	56.19576536	34.75437952
