Year,mag fees,dist fees ,sup fees
1984,30.421093,62.87025887,93.29135187
1985,29.48810409,60.94208178,90.43018587
1986,29.18969641,60.32537259,89.515069
1987,28.17868561,58.23595027,86.41463588
1988,27.21200686,56.23814751,83.45015437
1989,26.00754098,53.74891803,79.75645902
1990,41.37871674,67.86109546,92.68832551
1991,46.12264662,71.56962406,95.42616541
1992,52.57274854,77.3128655,100.5067251
1993,51.04295245,75.06316537,97.58211498
1994,49.59966897,72.94068966,94.82289655
1995,48.20343164,70.88739946,92.1536193
1996,46.70098701,68.67792208,89.2812987
1997,45.80861146,67.3656051,87.57528662
1998,45.14721908,66.39296924,86.31086001
1999,52.1647349,73.03062885,92.59240444
2000,53.51154762,73.02752381,91.91395238
2001,55.47062937,73.96083916,92.45104895
2002,54.83156682,73.10875576,91.3859447
2003,65.6178229,83.51359278,101.4093627
2004,63.71325301,81.08959474,98.46593647
2005,61.71904509,78.55151194,95.38397878
2006,69.79350254,85.89969543,102.0058883
2007,78.704774,93.39633181,114.3842715
2008,75.36721299,89.25064696,109.0841241
2009,72.93405294,93.19351208,113.4529712
2010,73.18336667,93.23360411,113.2838416
